year,tas,scenario
2037,14.468869563042858,ssp245
2038,14.47714519350211,ssp245
2039,14.481105521517918,ssp245
2040,14.50336318353277,ssp245
2041,14.46025308997639,ssp245
2042,14.396733672039602,ssp245
2043,14.527425907056283,ssp245
2044,14.534363473379017,ssp245
2045,14.62939346924287,ssp245
2046,14.843406829016146,ssp245
2047,14.66593491473418,ssp245
2048,14.85686281197951,ssp245
2049,14.865622854734852,ssp245
2050,14.782945318753832,ssp245
2051,14.893794435314874,ssp245
2052,14.947493682084087,ssp245
2053,14.772491923410314,ssp245
2054,14.889714616311153,ssp245
2055,14.84666881247847,ssp245
2056,14.776194096241568,ssp245
2057,14.992766111039202,ssp245
2058,15.096308599657448,ssp245
2059,14.883244671188265,ssp245
2060,15.010759400401923,ssp245
2061,15.113724324833186,ssp245
2062,15.070167260398478,ssp245
2063,14.994734014697144,ssp245
2064,15.11339371189905,ssp245
2065,15.232626769396518,ssp245
2066,15.167043116220555,ssp245
2067,15.076629677970061,ssp245
2068,15.095832407588318,ssp245
2069,15.187615157980758,ssp245
2070,15.242014196554749,ssp245
2071,15.311945757370552,ssp245
2072,15.409117966489191,ssp245
2073,15.481519657473257,ssp245
2074,15.220447860564207,ssp245
2075,15.31162752812412,ssp245
2076,15.405733717474561,ssp245
2077,15.430074470449938,ssp245
2078,15.622690530276202,ssp245
2079,15.413553615408432,ssp245
2080,15.402560992234669,ssp245
2081,15.226045768490167,ssp245
2082,15.37422020595659,ssp245
2083,15.434823161547456,ssp245
2084,15.70493973184756,ssp245
2085,15.79719533907479,ssp245
2086,15.386478021855112,ssp245
2087,15.666930018615744,ssp245
2088,15.867094942148185,ssp245
2089,15.653186563999668,ssp245
2090,15.656606839151095,ssp245
2091,15.826491027264694,ssp245
2092,15.76534591028485,ssp245
2093,15.581709937387984,ssp245
2094,15.644444477752018,ssp245
2095,15.865730820476358,ssp245
2096,15.862940985495072,ssp245
2097,15.794102974397333,ssp245
2098,15.864661385413854,ssp245
2099,15.778075165298276,ssp245
2100,15.793405381798777,ssp245
2015,13.741737365228062,ssp585
2016,13.708645195262193,ssp585
2017,13.849364788773357,ssp585
2018,13.94576190186848,ssp585
2019,13.848933978212074,ssp585
2020,13.76882565879498,ssp585
2021,13.91007888408609,ssp585
2022,14.092567195602555,ssp585
2023,14.046802453140288,ssp585
2024,14.078014309196476,ssp585
2025,14.078252411085828,ssp585
2026,14.183851425928026,ssp585
2027,14.274174552334841,ssp585
2028,14.14266406516606,ssp585
2029,14.262705467515104,ssp585
2030,14.30070007731996,ssp585
2031,14.298809850771306,ssp585
2032,14.385626700382147,ssp585
2033,14.30382165495979,ssp585
2034,14.433713540457745,ssp585
2035,14.47084419184381,ssp585
2036,14.498843739078438,ssp585
2037,14.461135303490721,ssp585
2038,14.648964249943276,ssp585
2039,14.716587587487425,ssp585
2040,14.556263857598879,ssp585
2041,14.70895553661859,ssp585
2042,14.942823409029302,ssp585
2043,14.743892772073593,ssp585
2044,14.866939576568086,ssp585
2045,14.901524839731735,ssp585
2046,14.990602030384991,ssp585
2047,14.926526993210416,ssp585
2048,15.070821365442612,ssp585
2049,15.215059553132619,ssp585
2050,15.18692990351957,ssp585
2051,15.254735810566444,ssp585
2052,15.520037975153798,ssp585
2053,15.325500499365205,ssp585
2054,15.568090085834172,ssp585
2055,15.592217840601904,ssp585
2056,15.473461583663436,ssp585
2057,15.583904150062267,ssp585
2058,15.647713445878196,ssp585
2059,15.788394358326343,ssp585
2060,15.918653338708225,ssp585
2061,15.780493303691458,ssp585
2062,15.868322238940038,ssp585
2063,16.026522865710774,ssp585
2064,16.02816617822208,ssp585
2065,15.974270579363292,ssp585
2066,16.133134625686807,ssp585
2067,16.193806054264996,ssp585
2068,16.344840045404055,ssp585
2069,16.12896421763014,ssp585
2070,16.28982501270724,ssp585
2071,16.23818199640681,ssp585
2072,16.383932804183132,ssp585
2073,16.418893670495947,ssp585
2074,16.27454404680759,ssp585
2075,16.307480868631785,ssp585
2076,16.59752164995558,ssp585
2077,16.479458583974917,ssp585
2078,16.556777205932065,ssp585
2079,16.903855185594466,ssp585
2080,16.95729259819342,ssp585
2081,17.127776561033727,ssp585
2082,17.18930148185052,ssp585
2083,17.068554140240337,ssp585
2084,16.953406560886208,ssp585
2085,17.17212914641624,ssp585
2086,17.193223574266028,ssp585
2087,17.119451432936216,ssp585
2088,17.351747498665418,ssp585
2089,17.302772136491797,ssp585
2090,17.401152076779283,ssp585
2091,17.43182745987616,ssp585
2092,17.583351028009474,ssp585
2093,17.78313075181444,ssp585
2094,17.517923630453026,ssp585
2095,17.72959289897966,ssp585
2096,17.91800066251284,ssp585
2097,18.03867176918294,ssp585
2098,17.902243308707284,ssp585
2099,17.8409752627702,ssp585
2100,18.007608564745908,ssp585
