year,fgco2,scenario,source
2005,6.414891874729585,historical,GFDL-ESM4
2006,6.03669858209663,historical,GFDL-ESM4
2007,6.162524095720687,historical,GFDL-ESM4
2008,6.573779632514958,historical,GFDL-ESM4
2009,7.320392153477301,historical,GFDL-ESM4
2010,7.558106555162721,historical,GFDL-ESM4
2011,6.971044880479164,historical,GFDL-ESM4
2012,7.733772073534414,historical,GFDL-ESM4
2013,7.609397798574461,historical,GFDL-ESM4
2014,6.842798643014157,historical,GFDL-ESM4
2015,6.727055032429626,ssp245,GFDL-ESM4
2016,6.882971543442167,ssp245,GFDL-ESM4
2017,7.633956173909119,ssp245,GFDL-ESM4
2018,8.09062438854321,ssp245,GFDL-ESM4
2019,8.868756659898551,ssp245,GFDL-ESM4
2020,7.342604022748963,ssp245,GFDL-ESM4
2021,7.411149226635135,ssp245,GFDL-ESM4
2022,8.65736950142564,ssp245,GFDL-ESM4
2023,9.18377684341218,ssp245,GFDL-ESM4
2024,9.312561230544365,ssp245,GFDL-ESM4
2025,8.52938458340351,ssp245,GFDL-ESM4
2026,9.27562399876078,ssp245,GFDL-ESM4
2027,9.417703789321227,ssp245,GFDL-ESM4
2028,9.079780297269606,ssp245,GFDL-ESM4
2029,8.807034424243005,ssp245,GFDL-ESM4
2030,9.661560964466625,ssp245,GFDL-ESM4
2031,9.236411713961127,ssp245,GFDL-ESM4
2032,9.442908969762064,ssp245,GFDL-ESM4
2033,9.213397620497108,ssp245,GFDL-ESM4
2034,9.682092372537108,ssp245,GFDL-ESM4
2035,9.582578076463975,ssp245,GFDL-ESM4
2036,10.191487943534272,ssp245,GFDL-ESM4
2037,10.24369587327877,ssp245,GFDL-ESM4
2038,10.05825305708934,ssp245,GFDL-ESM4
2039,10.305545619659812,ssp245,GFDL-ESM4
2040,9.663343601289618,ssp245,GFDL-ESM4
2041,10.078386172057261,ssp245,GFDL-ESM4
2042,10.076083042672394,ssp245,GFDL-ESM4
2043,10.071818381983933,ssp245,GFDL-ESM4
2044,10.015313455869945,ssp245,GFDL-ESM4
2045,9.97325747542475,ssp245,GFDL-ESM4
2046,10.26016754020983,ssp245,GFDL-ESM4
2047,9.927939208428263,ssp245,GFDL-ESM4
2048,9.96165905587081,ssp245,GFDL-ESM4
2049,10.34275523928062,ssp245,GFDL-ESM4
2050,10.28910627992616,ssp245,GFDL-ESM4
2051,10.156610938554723,ssp245,GFDL-ESM4
2052,10.309751664265718,ssp245,GFDL-ESM4
2053,10.865004811265175,ssp245,GFDL-ESM4
2054,10.598597694209104,ssp245,GFDL-ESM4
2055,10.136419921505505,ssp245,GFDL-ESM4
2056,10.550769061737306,ssp245,GFDL-ESM4
2057,10.089400381040395,ssp245,GFDL-ESM4
2058,9.33336018922402,ssp245,GFDL-ESM4
2059,9.70945867366079,ssp245,GFDL-ESM4
2060,10.572446674228692,ssp245,GFDL-ESM4
2061,10.647169597031944,ssp245,GFDL-ESM4
2062,9.920473064069927,ssp245,GFDL-ESM4
2063,9.4660459839123,ssp245,GFDL-ESM4
2064,10.517723763749562,ssp245,GFDL-ESM4
2065,9.854993308390913,ssp245,GFDL-ESM4
2066,9.472975706507407,ssp245,GFDL-ESM4
2067,9.926278941299794,ssp245,GFDL-ESM4
2068,10.178658328700278,ssp245,GFDL-ESM4
2069,9.903165655871728,ssp245,GFDL-ESM4
2070,9.001612249949146,ssp245,GFDL-ESM4
2071,9.034369555995372,ssp245,GFDL-ESM4
2072,9.560357066147759,ssp245,GFDL-ESM4
2073,9.69383652163334,ssp245,GFDL-ESM4
2074,9.17960987577303,ssp245,GFDL-ESM4
2075,9.6342769780706,ssp245,GFDL-ESM4
2076,9.753074553329986,ssp245,GFDL-ESM4
2077,9.075406264184823,ssp245,GFDL-ESM4
2078,9.082546005490656,ssp245,GFDL-ESM4
2079,8.854137208974688,ssp245,GFDL-ESM4
2080,8.736824021638792,ssp245,GFDL-ESM4
2081,8.476695290105578,ssp245,GFDL-ESM4
2082,8.71145285232427,ssp245,GFDL-ESM4
2083,8.760363323010637,ssp245,GFDL-ESM4
